country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Brazil,Latin America & Caribbean,5467050,4925540,-541510,-9.90497617545111,8358139.9972,8358139.9972
Indonesia,East Asia & Pacific,1185450,903256.0156,-282193.9844,-23.8047985490742,1811570.0092,1811570.0092
Myanmar,East Asia & Pacific,392180,284945.9961,-107234.0039,-27.2918803902821,653540.0095,653079.9996
Nigeria,Sub-Saharan Africa,172340,65833.99902,-106506.00098,-61.7999309388418,910770.0035,910770.0035
Tanzania,Sub-Saharan Africa,559200,456880,-102320,-18.2975679542203,885799.9948,885799.9948
Zimbabwe,Sub-Saharan Africa,221640,137495.9961,-84144.0039,-37.9642681375203,386849.9887,386849.9887
Bolivia,Latin America & Caribbean,627950,544750,-83200,-13.2494625368262,1083300.0045,1083300.0045
"Congo, Dem. Rep.",Sub-Saharan Africa,1603630,1522665.938,-80964.0619999999,-5.04879941133553,2267049.9992,2267049.9992
Argentina,Latin America & Caribbean,347930,268151.9922,-79778.0078,-22.9293271060271,2736690.0113,2736690.0113
Paraguay,Latin America & Caribbean,211570,149975.9961,-61594.0039,-29.1128250224512,397299.9912,397299.9912
Colombia,Latin America & Caribbean,644170,584750.1953,-59419.8047,-9.22424277752767,1109500.0042,1109500.0042
Cameroon,Sub-Saharan Africa,243160,185960,-57200,-23.5236058562264,472709.9909,472709.9909
Mozambique,Sub-Saharan Africa,433780,377336.0156,-56443.9844,-13.0121223661764,786379.9958,786379.9958
"Venezuela, RB",Latin America & Caribbean,520260,465186.0156,-55073.9844,-10.5858579171953,882050.0115,882050.0115
Zambia,Sub-Saharan Africa,528000,484683.9844,-43316.0156,-8.20379083333331,743390.0103,743390.0103
Peru,Latin America & Caribbean,779210,738053.9844,-41156.0156,-5.28176173303731,1279999.9891,1279999.9891
Mexico,Latin America & Caribbean,697600,659483.9844,-38116.0156,-5.46387838302754,1943950.0115,1943950.0115
Honduras,Latin America & Caribbean,81360,44720,-36640,-45.0344149459194,111889.9943,111889.9943
Cambodia,East Asia & Pacific,129440,93295.99609,-36144.00391,-27.9233651962299,176519.9996,176519.9996
Australia,East Asia & Pacific,1285410,1250590,-34820,-2.83180480982071,7682300.01,7692019.9951
"Korea, Dem. People’s Rep.",East Asia & Pacific,82010,49040,-32970,-40.2024143397147,120410.0065,120410.0065
Angola,Sub-Saharan Africa,609760,577311.9922,-32448.0078,-5.32143922198899,1246699.9965,1246699.9965
Botswana,Sub-Saharan Africa,137180,107377.998,-29802.002,-21.7247426738592,566729.9953,566729.9953
Uganda,Sub-Saharan Africa,47510,19418.00049,-28091.99951,-59.2733199922106,199810.0048,200520.0015
Ecuador,Latin America & Caribbean,146308.4961,124691.5039,-21616.9922,-5.00198929285882,276839.9977,248359.9951
Mali,Sub-Saharan Africa,66900,46360,-20540,-30.7025411061285,1220189.9997,1220189.9997
Somalia,Sub-Saharan Africa,82820,62862.00195,-19957.99805,-24.0980415962328,627340.0098,627340.0098
Chad,Sub-Saharan Africa,67050,47483.99902,-19566.00098,-29.1812095152871,1259200.0099,1259200.0099
Namibia,Sub-Saharan Africa,87620,68447.99805,-19172.00195,-21.8808513467245,823290.0081,823290.0081
Burkina Faso,Sub-Saharan Africa,68470,52902.00195,-15567.99805,-22.7369622462392,273600.0113,273600.0113
Benin,Sub-Saharan Africa,57610,42610,-15000,-26.0371463287624,112760.0012,112760.0012
Nicaragua,Latin America & Caribbean,45140,31140,-14000,-31.0146211785556,120339.9988,120339.9988
Canada,North America,3482730,3470224.063,-12505.9369999999,-0.359084310296805,9093509.9948,9093509.9948
